what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373576081264
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373576085375
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373576087199
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1373576097506
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1373576102651
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373576154955
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373576960321
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1373576983713
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1373577017647
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373577058037
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373577099260
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1373577107222
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1373577113048
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1373577147710
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373577149227
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373577378177
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1373577381531
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373577441166
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373577449820
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1373577499052
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1373577515851
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373577539708
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373577541095
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373577548806
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1373577553280
